timestamp,tof0,tof1
1734907669.730576,255.0,255.0
1734907669.7306178,255.0,255.0
1734907669.7306993,255.0,255.0
1734907669.7308333,255.0,255.0
1734907669.7308915,255.0,255.0
1734907669.7309132,255.0,255.0
1734907669.7309482,255.0,255.0
1734907669.7309608,255.0,255.0
1734907669.7335038,255.0,255.0
1734907669.7340853,255.0,255.0
1734907669.7345943,255.0,255.0
1734907669.734993,255.0,255.0
1734907669.735979,255.0,255.0
1734907669.7362812,255.0,255.0
1734907669.7381947,255.0,255.0
1734907669.7382648,255.0,255.0
1734907669.7394674,255.0,255.0
1734907669.7397776,255.0,255.0
1734907669.7408478,255.0,255.0
1734907669.740897,255.0,255.0
1734907669.7425294,255.0,255.0
1734907669.74276,255.0,255.0
1734907669.7448525,255.0,255.0
1734907669.7449856,255.0,255.0
1734907669.746437,255.0,255.0
1734907669.746537,255.0,255.0
1734907669.7491677,255.0,255.0
1734907669.7511644,255.0,255.0
1734907669.7513614,255.0,255.0
1734907669.752646,255.0,255.0
1734907669.7526994,255.0,255.0
1734907669.7540634,255.0,255.0
1734907669.754899,255.0,255.0
1734907669.7552888,255.0,255.0
1734907669.7561982,255.0,255.0
1734907669.7564702,255.0,255.0
1734907669.7575233,255.0,255.0
1734907669.757817,255.0,255.0
1734907669.7590868,255.0,255.0
1734907669.7591705,255.0,255.0
1734907669.7612457,255.0,255.0
1734907669.761995,255.0,255.0
1734907669.763888,255.0,255.0
1734907669.7644093,255.0,255.0
1734907669.765895,255.0,255.0
1734907669.7667737,255.0,255.0
1734907669.7673125,255.0,255.0
1734907669.7681315,255.0,255.0
1734907669.7691405,255.0,255.0
1734907669.7696786,255.0,255.0
1734907669.7703876,255.0,255.0
1734907669.7709694,255.0,255.0
1734907669.7717767,255.0,255.0
1734907669.772887,255.0,255.0
1734907669.7735069,255.0,255.0
1734907669.7744153,255.0,255.0
1734907669.7745516,255.0,255.0
1734907669.7759724,255.0,255.0
1734907669.7759995,255.0,255.0
1734907669.7776086,255.0,255.0
1734907669.77788,255.0,255.0
1734907669.779369,255.0,255.0
1734907669.7796028,255.0,255.0
1734907669.7808254,255.0,255.0
1734907669.7811766,255.0,255.0
1734907669.7825165,255.0,255.0
1734907669.7825904,255.0,255.0
1734907669.784298,255.0,255.0
1734907669.7843335,255.0,255.0
1734907669.7861648,255.0,255.0
1734907669.786484,255.0,255.0
1734907669.7874908,255.0,255.0
1734907669.7878346,255.0,255.0
1734907669.788924,255.0,255.0
1734907669.7890446,255.0,255.0
1734907669.790277,255.0,255.0
1734907669.790337,255.0,255.0
1734907669.7915251,255.0,255.0
1734907669.7916722,255.0,255.0
1734907669.793756,255.0,255.0
1734907669.7938845,255.0,255.0
1734907669.7953925,255.0,255.0
1734907669.795566,255.0,255.0
